timestamp,user_id,session_id,scenario_id,drill_id,rep_idx,bullets_n,rep_start_time,buzzer_start_time,shot_start_time,shot_resolved_time,object_id,object_type,score,valid_hit_recomputed,live_targets,center_x,center_y,center_z,hit_x,hit_y,hit_z,reaction_time_s,radial_error_m,target_row,trigger_press_duration_s,trigger_smoothness,gaze_target_angle_deg,gaze_stability_deg,pupil_diameter_mm,gaze_eye_used,quiet_eye_duration_s,quiet_eye_eye_used
20260601072107,235,2562,11640,022_TargetAcquisition_022,21,1,1780312825371,1780312829346,1780312831448,1780312831480,LINE_2/4/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/4/HEAD/*,1.4,0.760731339,9.993409,1.43338692,1.665769,9.98807,2.102,0.9056532748549179,2.0,0.555,0.010991869281008013,4.746511298258666,0.3649955168727309,8.025054215869563,right,0.0,right
20260601072107,235,2562,11640,023_TargetAcquisition_023,22,2,1780312835415,1780312840177,1780312842067,1780312842098,LINE_2/1/BODY/D,valid,1.0,True,LINE_2/1/BODY/*,-2.8,1.1703794,9.993409,-2.88225222,1.241331,9.983409,1.89,0.10862576691323464,2.0,0.323,0.01262468042351354,1.332980119955027,0.38025926873639704,8.06098507304348,right,0.99,right
20260601072107,235,2562,11640,023_TargetAcquisition_023,22,2,1780312835415,1780312840177,1780312842819,1780312842850,LINE_2/1/BODY/A,valid,5.0,True,LINE_2/1/BODY/*,-2.8,1.1703794,9.993409,-2.82836223,1.21463668,9.983069,2.642,0.05256541566059673,2.0,0.964,0.04066449806883811,0.989233257982754,0.32411412091732994,7.999901573111114,right,0.997,right
20260601072107,235,2562,11640,024_TargetAcquisition_024,23,2,1780312847220,1780312851754,1780312854276,1780312854308,LINE_2/5/BODY/A,valid,5.0,True,LINE_2/5/BODY/*,2.8,1.1703794,9.993409,2.82853937,1.21338582,9.983069,2.522,0.05161441466502662,2.0,0.744,0.012790299012643652,0.7496780689019577,0.37740038419768357,8.15242903217391,right,0.999,right
20260601072107,235,2562,11640,024_TargetAcquisition_024,23,2,1780312847220,1780312851754,1780312854986,1780312855018,LINE_2/5/BODY/C,valid,2.0,True,LINE_2/5/BODY/*,2.8,1.1703794,9.993409,2.862645,1.14310563,9.983409,3.232,0.0683246262705691,2.0,0.998,0.040693622257264014,0.6663584910343349,0.24730825912337195,8.05817744888889,right,0.998,right
20260601072157,237,2564,11635,001_TargetAcquisition_001,0,1,1780312511230,1780312525321,1780312527363,1780312527384,LINE_1/3/BODY/C,valid,2.0,True,LINE_1/3/BODY/*,0.0,1.1703794,4.993409,0.0282499027,1.319071,4.983409,2.042,0.15135140869222022,1.0,0.047,0.0996726458958023,1.6613807935300413,0.6436943333097371,5.777442663333334,right,0.269,right
20260601072157,237,2564,11635,002_TargetAcquisition_002,1,1,1780312532776,1780312541015,1780312543591,1780312543614,LINE_1/4/HEAD/A,valid,5.0,True,LINE_1/4/HEAD/*,1.40179992,1.55463123,4.993409,1.40988481,1.60552633,4.983409,2.576,0.051533257711133484,1.0,0.067,0.0271143376605732,1.9259502225061047,0.6367114434939768,6.150274015111109,right,0.368,right
20260601072157,237,2564,11635,003_TargetAcquisition_003,2,1,1780312548725,1780312572214,1780312574307,1780312574330,LINE_1/2/BODY/C,valid,2.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.375042,1.28875113,4.983409,2.093,0.120974246131947,1.0,0.056,0.043058754389181095,1.5177027830233296,0.5749627174049213,6.020023108444444,right,0.502,right
20260601072157,237,2564,11635,004_TargetAcquisition_004,3,1,1780312582996,1780312589077,1780312590693,1780312590716,LINE_1/1/BODY/C,valid,2.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.75929832,1.23912287,4.983409,1.616,0.07988924472332481,1.0,0.045,0.004802924582438745,1.2293848840433315,0.5710350651525997,6.165664504444444,right,0.837,right
20260601072157,237,2564,11635,005_TargetAcquisition_005,4,1,1780312596517,1780312602799,1780312604758,1780312604781,LINE_1/5/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_1/5/HEAD/*,2.8,0.760731339,4.993409,2.66167784,1.531539,4.98807,1.959,0.7831203420952341,1.0,0.145,0.022351298816760165,7.39984000446319,0.3975014346613886,6.310530791739133,right,0.0,right
